object_id,host_photoz,host_photoz_error,length_scale,max_mag,pos_flux_ratio,max_flux_ratio_red,max_flux_ratio_blue,min_flux_ratio_red,min_flux_ratio_blue,max_dt,positive_width,negative_width,time_fwd_max_0.5,time_fwd_max_0.2,time_fwd_max_0.5_ratio_red,time_fwd_max_0.5_ratio_blue,time_fwd_max_0.2_ratio_red,time_fwd_max_0.2_ratio_blue,time_bwd_max_0.5,time_bwd_max_0.2,time_bwd_max_0.5_ratio_red,time_bwd_max_0.5_ratio_blue,time_bwd_max_0.2_ratio_red,time_bwd_max_0.2_ratio_blue,frac_s2n_5,frac_s2n_-5,frac_background,time_width_s2n_5,count_max_center,count_max_rise_20,count_max_rise_50,count_max_rise_100,count_max_fall_20,count_max_fall_50,count_max_fall_100,peak_frac_2,total_s2n,percentile_diff_10_50,percentile_diff_30_50,percentile_diff_70_50,percentile_diff_90_50,class
plasticc_000000730,0.226,0.016,10.099629214774621,-3.831803985867903,0.9546206598252189,0.556338772682403,0.169649062931783,0.7359756304138615,0.47210588103678375,53.0,174.37921761989145,225.3743477056587,63.0,90.0,0.5153846153846153,0.5,0.5108695652173914,0.5477386934673367,96.0,143.0,0.5102040816326531,0.4418604651162791,0.5085910652920962,0.42570281124497994,0.06666666666666667,0.0,0.9121212121212121,75.78169999999955,0,0,0,0,0,21,59,0.5263270727115875,62.57901466459973,-0.1135295897371602,-0.060634872595526385,0.06648357683675027,0.2860252686163871,42
plasticc_000000745,0.281,1.1520000000000001,9.044355140435227,-6.012491560564083,0.9676255847677913,0.42203420154751864,0.4983379962867083,0.41077153933538846,0.5379932985879913,-7.0,146.7895835301424,198.25591186735892,57.0,85.0,0.5043478260869565,0.41237113402061853,0.5224719101123596,0.38405797101449274,79.0,123.0,0.5093167701863354,0.5031446540880503,0.5,0.5040322580645161,0.17663817663817663,0.0,0.7948717948717948,123.69820000000618,0,0,0,0,0,8,38,,305.32699792511386,-0.008720984362136825,-0.004099615085425612,0.015595793137805514,0.10114461216260318,90
plasticc_000001124,0.24100000000000002,0.018000000000000002,9.252275518239594,-5.635481887134427,0.9797200381296571,0.4762675741484373,0.33121416861398595,0.5975307288392415,0.612532353409391,18.0,144.45751279848614,351.9336957573336,44.0,79.0,0.5319148936170213,0.5416666666666666,0.47333333333333333,0.5459770114942529,85.0,134.0,0.5,0.4785276073619632,0.5,0.46613545816733065,0.15625,0.0,0.7982954545454546,130.90869999999995,0,0,0,0,0,13,46,,182.56795714510912,-0.01740862546875726,-0.008369013099330802,0.037127477020980945,0.14274093448745284,90
plasticc_000001598,0.182,0.03,6.890417458551335,-7.645496630882854,0.9947986975584024,0.3967180891953337,0.5813592773763985,0.7620393890132319,0.6726709236700736,7.0,56.70224264420639,148.82098902829716,32.0,56.0,0.5223880597014925,0.47540983606557374,0.5130434782608696,0.48623853211009177,18.0,22.0,0.5384615384615384,0.41935483870967744,0.5416666666666666,0.4358974358974359,0.056818181818181816,0.0,0.9403409090909091,15.188499999996566,0,14,46,95,0,0,0,,534.4444280912533,-0.002657123959771554,-0.0011361189025708152,0.0008776009260896833,0.0026488604419527655,90
plasticc_000001632,0.701,0.01,12.661041271859174,-2.0574404021399344,0.8273162711469002,0.6169719835476744,0.29624479296996337,0.6897991962914664,0.23976715842762542,130.0,252.035120517487,647.7345309945673,265.0,334.0,0.499054820415879,0.40582959641255606,0.5194244604316547,0.4604200323101777,,,,,,,0.002840909090909091,0.0,0.9744318181818182,-1.0,0,0,0,0,0,0,0,,23.57931587719632,-0.5638930039646535,-0.20127172787375883,0.243860236527826,0.6435093665227865,42
plasticc_000001920,0.32299999999999995,0.336,7.090318707724146,-5.948812879405072,0.9820652977468611,0.39351876191474566,0.4475672982589608,0.712967344198392,0.5788238979265103,3.0,51.071483969900456,118.61388945399781,23.0,54.0,0.46511627906976744,0.4523809523809524,0.5813953488372093,0.35714285714285715,14.0,19.0,0.48148148148148145,0.4166666666666667,0.4722222222222222,0.42424242424242425,0.21568627450980393,0.0,0.7725490196078432,100.85979999999836,8,18,39,39,13,36,59,0.5424925988294551,410.7261423811518,-0.022847963420354844,-0.005533291123333221,0.011439673287695296,0.38023353503692797,90
plasticc_000002072,0.19,0.01,11.174124687503848,-3.499511509526973,0.9359757356036366,0.45542157525742444,0.4241594992067477,0.6719008252340868,0.4906766760673306,0.0,276.4315905673451,552.8849912912439,119.0,161.0,0.5559701492537313,0.531496062992126,0.5564738292011019,0.547752808988764,,,,,,,0.06552706552706553,0.0,0.8717948717948718,101.65460000000166,0,0,0,0,0,0,0,,57.309122796433435,-0.1289708281731601,-0.05819551658146108,0.09923842170821133,0.27257670196316847,90
plasticc_000002103,0.541,0.228,6.628966714927901,-5.261665575097969,0.9615545436409312,0.5283006249316635,0.6233663694638327,0.6832570383681297,0.5920656539306893,5.0,50.691642540515105,107.12481010410974,36.0,49.0,0.47058823529411764,0.28,0.5,0.3875,9.0,12.0,0.55,0.4375,0.5555555555555556,0.45454545454545453,0.09375,0.0,0.8948863636363636,28.055899999999383,17,29,56,82,28,38,38,,383.02515877223925,-0.01765480634842776,-0.005993489307364909,0.012895884587085862,0.24079748351203326,42
plasticc_000002300,2.747,0.534,12.78065261242346,-3.224354115223242,0.859394310866452,0.5309676934139085,0.20391812926179792,0.5563858507458872,0.10281026457896696,62.0,332.5821706172701,435.0528245782749,243.0,327.0,0.5188118811881188,0.3324175824175824,0.5176991150442478,0.361328125,,,,,,,0.039886039886039885,0.002849002849002849,0.8917378917378918,838.7059000000008,0,0,0,0,0,0,0,,39.82808359352785,-0.2346205398396994,-0.08769529712201375,0.21827046279455206,0.4906226941389955,42
plasticc_000002330,0.574,0.28300000000000003,10.196922181810738,-1.6604912382921933,0.7809506604452289,0.5010011435707383,0.2476468090576816,0.5689174290667628,0.4317118029023356,32.0,222.7805758775986,354.42878316251137,84.0,181.0,0.5333333333333333,0.4909090909090909,0.4843304843304843,,110.0,163.0,0.5132743362831859,0.4387755102040816,0.5148809523809523,0.4199288256227758,0.002849002849002849,0.0,0.9772079772079773,-1.0,0,0,0,0,5,18,57,0.6593477314019799,23.373425355874854,-0.5411991522486529,-0.2549398410653592,0.2946663537391744,0.7016187298785823,90
